ID,P_ID,Sex,Age,Q1_S1,Q2_S1,Q3_S1,Q4_S1,Q5_S1,Q6_S1,Q7_S1,Q8_S1,Q9_S1,Q10_S1,Q11_S1,Q12_S1,Q13_S1,Q14_S1,Q15_S1,Q16_S1,Q17_S1,Q18_S1,Q19_S2,Q20_S2,Q21_S2,Q22_S2,Q23_S2,Q24_S2,Q25_S2,Q26_S2,Q27_S2,Q28_S2,Q29_S2,Q30_S2,Q31_S2,Q32_S2,Q33_S2,Q34_S2,Q35_S2,Q36_S2,Q1_S2,Q2_S2,Q3_S2,Q4_S2,Q5_S2,Q6_S2,Q7_S2,Q8_S2,Q9_S2,Q10_S2,Q11_S2,Q12_S2,Q13_S2,Q14_S2,Q15_S2,Q16_S2,Q17_S2,Q18_S2,Q19_S1,Q20_S1,Q21_S1,Q22_S1,Q23_S1,Q24_S1,Q25_S1,Q26_S1,Q27_S1,Q28_S1,Q29_S1,Q30_S1,Q31_S1,Q32_S1,Q33_S1,Q34_S1,Q35_S1,Q36_S1
33,714690,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,5,2,5,3,5,0,4,1,5,6,6,5,5,4,4,5,5,6,5,0,0,1,5,1,5,4,6,2,3,5,5,1
34,629680,1,48,3,2,5,3,5,1,4,6,4,4,3,1,2,5,4,6,4,5,3,4,5,1,5,2,5,2,5,2,4,4,2,5,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,998462,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,4,6,4,5,5,4,4,6,2,1,6,6,5,5,2,5,4,5,6,5,1,0,1,4,4,5,4,5,5,2,5,4,2
36,267438,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,5,2,2,4,4,3,2,2,4,2,6,4,5,4,4,1,3,2,5,4,0,1,4,2,1,2,4,2,2,4,1,1
37,104355,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,2,4,3,1,4,4,2,3,2,1,4,4,6,2,3,5,4,3,4,3,1,2,1,4,1,4,3,1,5,5,2,4,2
38,734825,1,39,4,3,5,2,5,1,1,4,4,2,2,1,4,4,4,4,4,3,3,4,5,4,5,1,4,4,5,1,5,5,1,5,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,754513,1,43,2,1,4,3,5,1,3,4,2,4,4,1,2,4,1,5,2,2,2,4,4,4,2,1,4,1,4,1,5,2,1,5,1,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,277966,1,40,2,1,4,2,4,2,2,5,4,2,1,3,3,4,4,5,1,4,4,4,5,2,1,1,4,2,4,4,4,2,4,6,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,515036,2,44,5,2,4,1,5,2,6,5,5,2,5,1,1,5,6,5,2,4,4,4,5,2,5,1,4,2,4,1,5,1,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,364826,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,4,2,4,1,1,1,4,0,2,4,2,5,2,2,3,2,4,3,2,1,2,2,4,1,3,1,4,4,4,4,2,1
43,238190,2,45,5,1,3,1,5,1,2,5,3,2,2,1,3,5,4,3,2,3,4,2,3,3,4,0,5,2,5,3,6,4,2,4,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,929819,2,39,4,3,4,1,4,2,3,4,3,3,4,1,4,5,5,6,3,3,6,4,2,5,6,1,4,2,4,3,5,3,4,4,6,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,569441,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,2,4,2,5,4,3,2,4,2,3,6,3,6,2,5,4,4,5,4,3,0,3,0,4,0,4,4,3,4,3,3,0,0
46,284819,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,4,5,4,5,3,2,2,4,2,5,5,2,4,1,3,3,4,4,5,2,1,1,2,1,1,2,2,3,5,1,4,2,3
47,118535,1,34,4,3,4,3,6,4,4,5,5,5,5,3,4,6,5,5,5,5,4,4,6,3,4,2,4,2,3,2,5,4,3,6,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,296924,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,2,6,2,5,5,3,2,6,6,6,6,6,6,6,6,6,5,6,6,2,5,0,2,6,2,4,5,4,5,6,4,1,1
49,202564,2,28,2,2,5,3,5,3,2,4,3,1,5,2,3,4,3,5,4,2,2,2,5,2,3,2,4,4,5,4,5,4,4,5,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,849832,2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,4,4,5,5,4,4,2,6,1,5,4,6,6,5,5,5,4,6,5,4,1,0,0,1,1,1,5,3,5,5,4,2,1
51,953947,1,31,2,1,4,1,5,0,1,3,3,3,2,0,0,4,4,4,0,4,4,3,4,2,4,0,4,4,2,0,5,3,1,4,4,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,641070,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,5,4,4,3,4,3,3,3,2,3,4,2,2,3,4,3,2,3,2,2,2,2,3,1,3,4,3,2,2,4,3,2
53,124889,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,3,2,5,3,2,4,2,2,5,3,5,5,4,3,2,2,4,3,1,2,3,3,1,3,2,3,4,2,4,4,4
54,363469,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,1,4,5,5,5,2,0,5,3,6,5,3,6,1,5,4,3,2,0,2,0,0,0,5,0,5,4,3,5,5,2,0,0
55,521305,2,26,4,0,5,1,5,0,6,6,4,2,5,0,5,5,4,6,2,2,4,5,2,5,4,2,4,1,2,3,4,0,4,5,4,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,860704,1,42,4,3,5,4,5,3,4,5,5,5,5,3,3,4,5,6,5,4,2,4,6,5,5,1,5,4,5,4,6,4,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,323855,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,5,5,3,6,4,4,3,4,2,6,5,5,6,6,6,4,4,6,5,6,1,1,5,4,3,2,3,4,5,2,5,3,3
58,525191,1,41,1,1,4,1,6,0,1,2,2,1,5,0,1,5,5,6,2,4,6,5,6,3,5,0,2,5,2,1,5,5,2,5,2,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,670844,1,35,4,4,4,0,5,0,3,5,3,3,4,0,5,4,6,5,4,4,4,3,4,4,2,1,4,0,5,4,4,3,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,745563,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,5,4,2,5,4,5,5,5,2,3,5,5,4,4,5,4,4,4,4,4,2,5,3,5,4,4,4,4,4,5,3,5,3
